date,department,cost_center,account_name,account_type,debit_amount,credit_amount,voucher_id,description,currency,exchange_rate
2024-01-04,企业服务部,CC数据05,一次性授权收入,income,76824.24,74845.1,V-100028,一次性授权收入-2024-01-04-29,CNY,1.0
2024-01-05,技术支持部,CCAI03,软件许可成本,cogs,27033.86,26501.47,V-100029,软件许可成本-2024-01-05-54,CNY,1.0
2024-01-05,云平台事业部,CC技术01,招待费,opex_admin,17550.96,17315.97,V-100030,招待费-2024-01-05-15,CNY,1.0
2024-01-05,数据智能部,CC企业04,市场推广费,opex_mkt,462.84,440.1,V-100031,市场推广费-2024-01-05-92,CNY,1.0
2024-01-05,企业服务部,CC云平05,技术咨询收入,income,24404.67,25519.56,V-100032,技术咨询收入-2024-01-05-30,CNY,1.0
2024-01-08,数据智能部,CC技术04,软件许可成本,cogs,43174.49,41746.61,V-100033,软件许可成本-2024-01-08-24,USD,6.7555
2024-01-08,数据智能部,CC云平02,广告投放费,opex_mkt,10568.45,10136.66,V-100034,广告投放费-2024-01-08-95,CNY,1.0
2024-01-08,AI研究院,CC企业05,研发工具费,opex_rd,8461.45,8840.6,V-100035,研发工具费-2024-01-08-13,USD,7.5043
2024-01-09,数据智能部,CC企业02,第三方服务费,cogs,39698.96,40806.99,V-100036,第三方服务费-2024-01-09-29,USD,7.1442
2024-01-09,AI研究院,CC技术03,第三方服务费,cogs,17048.74,17388.59,V-100037,第三方服务费-2024-01-09-21,USD,7.3435
2024-01-09,企业服务部,CC企业03,汇兑损益,opex_other,14574.33,15216.75,V-100038,汇兑损益-2024-01-09-21,EUR,7.1916
2024-01-09,企业服务部,CC企业02,技术咨询收入,income,49900.03,50113.2,V-100039,技术咨询收入-2024-01-09-76,CNY,1.0
2024-01-10,技术支持部,CC企业02,广告投放费,opex_mkt,2544.57,2488.55,V-100040,广告投放费-2024-01-10-77,EUR,7.7465
2024-01-10,技术支持部,CC技术01,技术咨询收入,income,3829.83,3683.02,V-100041,技术咨询收入-2024-01-10-74,JPY,7.2866
2024-01-10,企业服务部,CCAI05,订阅服务收入,income,60879.89,59651.73,V-100042,订阅服务收入-2024-01-10-81,CNY,1.0
2024-01-10,AI研究院,CC企业01,专利注册费,opex_rd,5749.29,5933.27,V-100043,专利注册费-2024-01-10-28,EUR,7.3776
2024-01-10,技术支持部,CC企业04,培训服务收入,income,0,0.0,V-100044,培训服务收入-2024-01-10-83,CNY,1.0
2024-01-10,AI研究院,CC技术01,测试认证费,opex_rd,5351.28,5227.37,V-100045,测试认证费-2024-01-10-98,CNY,1.0
2024-01-10,数据智能部,CC企业02,坏账准备,opex_other,5698.58,5744.53,V-100046,坏账准备-2024-01-10-91,CNY,1.0
2024-01-10,AI研究院,CC数据01,测试认证费,opex_rd,0,0.0,V-100047,测试认证费-2024-01-10-82,CNY,1.0
2024-01-10,技术支持部,CC云平01,内容采购成本,cogs,11053.17,11204.21,V-100048,内容采购成本-2024-01-10-92,CNY,1.0
2024-01-11,数据智能部,CC数据01,专利注册费,opex_rd,6410.42,6715.73,V-100049,专利注册费-2024-01-11-64,EUR,6.5488
2024-01-11,数据智能部,CC云平05,第三方服务费,cogs,23564.54,24550.22,V-100050,第三方服务费-2024-01-11-52,CNY,1.0
2024-01-11,数据智能部,CC数据02,服务器成本,cogs,54883.34,57317.16,V-100051,服务器成本-2024-01-11-80,USD,6.917
2024-01-11,数据智能部,CC云平01,工资薪酬,opex_salary,6014.23,6081.26,V-100052,工资薪酬-2024-01-11-63,CNY,1.0
2024-01-11,AI研究院,CC企业02,折旧摊销,opex_da,2087.49,2018.03,V-100053,折旧摊销-2024-01-11-48,USD,6.702
2024-01-11,技术支持部,CC企业02,招待费,opex_admin,20623.24,21613.44,V-100054,招待费-2024-01-11-90,USD,6.5562
2024-01-11,企业服务部,CC企业04,办公租金,opex_admin,6488.36,6676.77,V-100055,办公租金-2024-01-11-86,CNY,1.0
2024-01-12,数据智能部,CC技术04,差旅交通,opex_admin,13079.39,13432.45,V-100056,差旅交通-2024-01-12-09,CNY,1.0
2024-01-12,AI研究院,CCAI02,技术咨询收入,income,51049.62,49060.71,V-100057,技术咨询收入-2024-01-12-43,CNY,1.0
2024-01-12,企业服务部,CC企业02,绩效奖金,opex_salary,0,0.0,V-100058,绩效奖金-2024-01-12-83,USD,7.5804
2024-01-12,技术支持部,CCAI05,绩效奖金,opex_salary,2916.11,2940.8,V-100059,绩效奖金-2024-01-12-79,CNY,1.0
2024-01-12,企业服务部,CC数据03,汇兑损益,opex_other,10418.95,10302.22,V-100060,汇兑损益-2024-01-12-57,USD,6.9857
2024-01-15,云平台事业部,CC云平04,专利注册费,opex_rd,754.99,726.6,V-100061,专利注册费-2024-01-15-96,USD,7.4965
2024-01-15,技术支持部,CC企业03,研发工具费,opex_rd,555.61,530.65,V-100062,研发工具费-2024-01-15-85,CNY,1.0
2024-01-15,数据智能部,CC数据03,培训服务收入,income,19704.49,19510.47,V-100063,培训服务收入-2024-01-15-64,EUR,7.2464
2024-01-15,云平台事业部,CCAI01,广告投放费,opex_mkt,12936.96,12568.4,V-100064,广告投放费-2024-01-15-13,EUR,7.1278
2024-01-15,AI研究院,CCAI04,一次性授权收入,income,71789.81,71599.82,V-100065,一次性授权收入-2024-01-15-09,CNY,1.0
2024-01-15,云平台事业部,CC技术01,技术咨询收入,income,80169.6,83754.33,V-100066,技术咨询收入-2024-01-15-30,CNY,1.0
2024-01-15,云平台事业部,CC数据02,技术咨询收入,income,49062.55,49438.84,V-100067,技术咨询收入-2024-01-15-40,USD,6.6089
2024-01-15,企业服务部,CC技术05,活动会展费,opex_mkt,3099.68,3213.0,V-100068,活动会展费-2024-01-15-92,CNY,1.0
2024-01-15,企业服务部,CC数据04,软件许可成本,cogs,45364.7,44919.7,V-100069,软件许可成本-2024-01-15-37,CNY,1.0
2024-01-15,数据智能部,CC数据04,软件许可成本,cogs,782.13,754.19,V-100070,软件许可成本-2024-01-15-92,CNY,1.0
2024-01-16,数据智能部,CC企业04,工资薪酬,opex_salary,18550.83,18174.59,V-100071,工资薪酬-2024-01-16-23,CNY,1.0
2024-01-16,AI研究院,CC云平01,研发工具费,opex_rd,17737.6,17176.42,V-100072,研发工具费-2024-01-16-51,USD,6.5339
2024-01-16,企业服务部,CCAI02,折旧摊销,opex_da,5452.62,5234.19,V-100073,折旧摊销-2024-01-16-99,CNY,1.0
2024-01-16,云平台事业部,CC企业05,办公租金,opex_admin,24456.49,24312.83,V-100074,办公租金-2024-01-16-99,CNY,1.0
2024-01-16,云平台事业部,CC企业05,汇兑损益,opex_other,6711.9,6464.05,V-100075,汇兑损益-2024-01-16-26,CNY,1.0
2024-01-16,数据智能部,CC技术03,订阅服务收入,income,117334.35,116019.62,V-100076,订阅服务收入-2024-01-16-08,CNY,1.0
2024-01-16,AI研究院,CC云平01,第三方服务费,cogs,53593.33,53536.63,V-100077,第三方服务费-2024-01-16-45,CNY,1.0
2024-01-17,数据智能部,CC技术04,专利注册费,opex_rd,3461.09,3520.59,V-100078,专利注册费-2024-01-17-56,CNY,1.0
2024-01-17,企业服务部,CC技术04,专利注册费,opex_rd,4138.36,4031.78,V-100079,专利注册费-2024-01-17-12,USD,7.4409
2024-01-17,技术支持部,CC企业05,培训服务收入,income,19018.13,19828.94,V-100080,培训服务收入-2024-01-17-56,CNY,1.0
2024-01-17,企业服务部,CC云平01,办公租金,opex_admin,13439.6,13428.22,V-100081,办公租金-2024-01-17-58,CNY,1.0
2024-01-17,AI研究院,CC数据04,培训服务收入,income,89645.83,88298.89,V-100082,培训服务收入-2024-01-17-51,CNY,1.0
2024-01-17,云平台事业部,CC企业02,汇兑损益,opex_other,0,0.0,V-100083,汇兑损益-2024-01-17-10,CNY,1.0
2024-01-17,技术支持部,CCAI02,技术咨询收入,income,84334.92,88196.16,V-100084,技术咨询收入-2024-01-17-70,USD,7.0533
2024-01-17,企业服务部,CC数据02,绩效奖金,opex_salary,0,0.0,V-100085,绩效奖金-2024-01-17-67,CNY,1.0
2024-01-17,技术支持部,CC技术02,技术咨询收入,income,35644.35,34698.46,V-100086,技术咨询收入-2024-01-17-26,CNY,1.0
2024-01-17,云平台事业部,CC技术04,绩效奖金,opex_salary,12997.29,13181.03,V-100087,绩效奖金-2024-01-17-14,EUR,7.3562
2024-01-18,技术支持部,CC数据02,市场推广费,opex_mkt,4336.46,4342.53,V-100088,市场推广费-2024-01-18-49,CNY,1.0
2024-01-18,数据智能部,CCAI05,研发工具费,opex_rd,13168.66,13504.06,V-100089,研发工具费-2024-01-18-73,CNY,1.0
2024-01-18,技术支持部,CC企业03,汇兑损益,opex_other,5085.49,4880.32,V-100090,汇兑损益-2024-01-18-23,JPY,7.6851
2024-01-19,云平台事业部,CC数据04,运维服务收入,income,73726.8,76244.77,V-100091,运维服务收入-2024-01-19-43,CNY,1.0
2024-01-19,数据智能部,CC数据04,订阅服务收入,income,44020.97,42969.0,V-100092,订阅服务收入-2024-01-19-01,CNY,1.0
2024-01-19,企业服务部,CC云平05,汇兑损益,opex_other,11255.76,10831.88,V-100093,汇兑损益-2024-01-19-76,CNY,1.0
2024-01-19,企业服务部,CCAI03,差旅交通,opex_admin,10567.8,10861.11,V-100094,差旅交通-2024-01-19-13,CNY,1.0
2024-01-19,云平台事业部,CC数据02,研发工具费,opex_rd,8189.05,8256.29,V-100095,研发工具费-2024-01-19-28,USD,7.6919
2024-01-19,数据智能部,CC企业04,工资薪酬,opex_salary,13686.95,14287.63,V-100096,工资薪酬-2024-01-19-61,CNY,1.0
2024-01-21,企业服务部,CC云平04,服务器成本,cogs,973.92,936.22,V-100097,服务器成本-2024-01-21-21,USD,7.4003
2024-01-21,AI研究院,CC技术04,培训服务收入,income,56165.79,57861.77,V-100098,培训服务收入-2024-01-21-05,CNY,1.0
2024-01-21,云平台事业部,CC数据04,技术咨询收入,income,42806.51,42434.03,V-100099,技术咨询收入-2024-01-21-50,EUR,6.5457
2024-01-21,企业服务部,CC云平03,订阅服务收入,income,56127.26,57568.83,V-100100,订阅服务收入-2024-01-21-90,CNY,1.0
2024-01-21,企业服务部,CC数据04,社保公积金,opex_salary,16053.54,16103.63,V-100101,社保公积金-2024-01-21-34,USD,7.261
2024-01-21,企业服务部,CCAI05,软件许可成本,cogs,39183.65,37639.21,V-100102,软件许可成本-2024-01-21-01,USD,7.0278
2024-01-21,数据智能部,CC云平01,坏账准备,opex_other,13248.42,13225.32,V-100103,坏账准备-2024-01-21-23,CNY,1.0
2024-01-21,AI研究院,CCAI01,社保公积金,opex_salary,7158.01,7214.85,V-100104,社保公积金-2024-01-21-95,EUR,6.7888
2024-01-21,数据智能部,CC数据01,专利注册费,opex_rd,13969.07,13330.35,V-100105,专利注册费-2024-01-21-62,EUR,6.5337
2024-01-21,云平台事业部,CC技术01,折旧摊销,opex_da,12004.29,12087.12,V-100106,折旧摊销-2024-01-21-94,USD,7.2784
2024-01-22,AI研究院,CCAI01,差旅交通,opex_admin,10583.21,10179.54,V-100107,差旅交通-2024-01-22-46,CNY,1.0
2024-01-22,云平台事业部,CC数据01,订阅服务收入,income,7995.0,8282.55,V-100108,订阅服务收入-2024-01-22-16,CNY,1.0
2024-01-22,AI研究院,CC企业02,服务器成本,cogs,33103.5,32540.46,V-100109,服务器成本-2024-01-22-93,JPY,7.4416
2024-01-23,企业服务部,CC企业05,招待费,opex_admin,3209.47,3131.41,V-100110,招待费-2024-01-23-58,USD,6.5382
2024-01-23,技术支持部,CC企业05,培训服务收入,income,78915.73,81798.6,V-100111,培训服务收入-2024-01-23-67,CNY,1.0
2024-01-23,AI研究院,CC云平03,服务器成本,cogs,33480.13,32683.2,V-100112,服务器成本-2024-01-23-26,CNY,1.0
2024-01-23,AI研究院,CCAI02,专利注册费,opex_rd,8154.07,8185.31,V-100113,专利注册费-2024-01-23-09,EUR,6.9468
2024-01-23,数据智能部,CC技术05,折旧摊销,opex_da,2040.72,1953.52,V-100114,折旧摊销-2024-01-23-05,CNY,1.0
2024-01-23,企业服务部,CC企业01,广告投放费,opex_mkt,9581.93,9805.98,V-100115,广告投放费-2024-01-23-78,CNY,1.0
2024-01-23,数据智能部,CC企业05,社保公积金,opex_salary,6830.52,6790.11,V-100116,社保公积金-2024-01-23-34,CNY,1.0
2024-01-23,企业服务部,CCAI04,社保公积金,opex_salary,12394.91,12102.65,V-100117,社保公积金-2024-01-23-44,CNY,1.0
2024-01-23,数据智能部,CC云平03,软件许可成本,cogs,35179.61,35180.31,V-100118,软件许可成本-2024-01-23-67,CNY,1.0
2024-01-23,数据智能部,CC数据02,办公租金,opex_admin,14313.01,14520.94,V-100119,办公租金-2024-01-23-19,CNY,1.0
2024-01-23,数据智能部,CC企业01,测试认证费,opex_rd,14856.05,14578.52,V-100120,测试认证费-2024-01-23-91,CNY,1.0
2024-01-24,企业服务部,CCAI02,招待费,opex_admin,16949.18,17040.92,V-100121,招待费-2024-01-24-26,CNY,1.0
2024-01-24,技术支持部,CC云平04,内容采购成本,cogs,23028.59,23441.11,V-100122,内容采购成本-2024-01-24-70,CNY,1.0
2024-01-24,企业服务部,CC技术02,软件许可成本,cogs,24417.17,24193.54,V-100123,软件许可成本-2024-01-24-43,CNY,1.0
2024-01-24,企业服务部,CC云平05,活动会展费,opex_mkt,0,0.0,V-100124,活动会展费-2024-01-24-77,USD,6.8826
2024-01-25,数据智能部,CCAI04,差旅交通,opex_admin,6655.02,6780.43,V-100125,差旅交通-2024-01-25-55,CNY,1.0
2024-01-25,云平台事业部,CC企业01,社保公积金,opex_salary,13871.49,14345.27,V-100126,社保公积金-2024-01-25-14,CNY,1.0
2024-01-25,企业服务部,CC技术05,专利注册费,opex_rd,9786.13,10164.05,V-100127,专利注册费-2024-01-25-93,USD,6.666
2024-01-25,云平台事业部,CC技术05,带宽流量成本,cogs,53463.05,51839.96,V-100128,带宽流量成本-2024-01-25-19,CNY,1.0
2024-01-25,企业服务部,CC企业02,培训服务收入,income,29229.78,29807.41,V-100129,培训服务收入-2024-01-25-72,CNY,1.0
2024-01-25,企业服务部,CCAI02,折旧摊销,opex_da,14744.76,15480.88,V-100130,折旧摊销-2024-01-25-67,CNY,1.0
2024-01-26,云平台事业部,CC技术02,折旧摊销,opex_da,5742.89,5585.31,V-100131,折旧摊销-2024-01-26-29,CNY,1.0
2024-01-26,AI研究院,CCAI02,服务器成本,cogs,23546.72,22905.7,V-100132,服务器成本-2024-01-26-93,EUR,6.9314
2024-01-26,企业服务部,CC数据01,绩效奖金,opex_salary,2207.62,2216.01,V-100133,绩效奖金-2024-01-26-02,CNY,1.0
2024-01-26,AI研究院,CC数据04,广告投放费,opex_mkt,7385.8,7052.62,V-100134,广告投放费-2024-01-26-52,CNY,1.0
2024-01-29,云平台事业部,CC云平02,内容采购成本,cogs,27353.82,27776.27,V-100135,内容采购成本-2024-01-29-73,CNY,1.0
2024-01-29,数据智能部,CC企业05,绩效奖金,opex_salary,5114.9,4879.47,V-100136,绩效奖金-2024-01-29-15,CNY,1.0
2024-01-29,数据智能部,CCAI02,办公租金,opex_admin,7091.01,7363.81,V-100137,办公租金-2024-01-29-17,CNY,1.0
2024-01-30,AI研究院,CC技术05,一次性授权收入,income,22835.16,23009.76,V-100138,一次性授权收入-2024-01-30-70,CNY,1.0
2024-01-30,技术支持部,CC数据03,专利注册费,opex_rd,8374.29,8648.16,V-100139,专利注册费-2024-01-30-16,CNY,1.0
2024-01-30,AI研究院,CC云平05,运维服务收入,income,54940.6,53201.7,V-100140,运维服务收入-2024-01-30-98,CNY,1.0
2024-01-30,AI研究院,CC云平03,社保公积金,opex_salary,551.74,550.6,V-100141,社保公积金-2024-01-30-93,CNY,1.0
2024-01-31,技术支持部,CC数据01,社保公积金,opex_salary,0,0.0,V-100142,社保公积金-2024-01-31-41,JPY,6.8462
2024-01-31,AI研究院,CC技术03,差旅交通,opex_admin,4480.99,4391.45,V-100143,差旅交通-2024-01-31-77,CNY,1.0
2024-01-31,技术支持部,CC企业05,办公租金,opex_admin,12913.73,12941.52,V-100144,办公租金-2024-01-31-22,CNY,1.0
2024-01-31,技术支持部,CC企业03,测试认证费,opex_rd,9137.72,8717.27,V-100145,测试认证费-2024-01-31-41,EUR,6.6719
2024-01-31,技术支持部,CCAI02,运维服务收入,income,33738.33,33046.16,V-100146,运维服务收入-2024-01-31-11,CNY,1.0
2024-01-31,企业服务部,CCAI05,运维服务收入,income,68569.44,71307.36,V-100147,运维服务收入-2024-01-31-85,CNY,1.0
2024-01-31,企业服务部,CC云平03,测试认证费,opex_rd,7594.72,7524.86,V-100148,测试认证费-2024-01-31-84,EUR,7.0286
2024-01-31,AI研究院,CC企业05,技术咨询收入,income,51361.53,53381.46,V-100149,技术咨询收入-2024-01-31-33,CNY,1.0
2024-02-01,AI研究院,CC云平02,社保公积金,opex_salary,6948.45,7058.13,V-100150,社保公积金-2024-02-01-44,CNY,1.0
2024-02-01,AI研究院,CC企业04,软件许可成本,cogs,41122.17,41920.1,V-100151,软件许可成本-2024-02-01-78,CNY,1.0
2024-02-01,技术支持部,CCAI02,坏账准备,opex_other,6758.52,6949.48,V-100152,坏账准备-2024-02-01-48,CNY,1.0
2024-02-01,数据智能部,CC企业03,市场推广费,opex_mkt,6889.72,6785.71,V-100153,市场推广费-2024-02-01-67,CNY,1.0
2024-02-01,AI研究院,CCAI05,带宽流量成本,cogs,43410.02,42719.1,V-100154,带宽流量成本-2024-02-01-56,USD,7.142
2024-02-02,云平台事业部,CC云平04,折旧摊销,opex_da,10367.08,10759.83,V-100155,折旧摊销-2024-02-02-81,USD,7.4646
2024-02-02,技术支持部,CC技术04,办公租金,opex_admin,16202.35,16521.73,V-100156,办公租金-2024-02-02-65,EUR,7.4201
2024-02-02,企业服务部,CC云平02,广告投放费,opex_mkt,4669.9,4569.67,V-100157,广告投放费-2024-02-02-56,JPY,6.5153
2024-02-02,企业服务部,CC技术04,折旧摊销,opex_da,8775.05,9095.88,V-100158,折旧摊销-2024-02-02-85,CNY,1.0
2024-02-02,AI研究院,CC云平02,社保公积金,opex_salary,0,0.0,V-100159,社保公积金-2024-02-02-68,USD,7.6932
2024-02-02,企业服务部,CC数据02,运维服务收入,income,88175.3,90996.13,V-100160,运维服务收入-2024-02-02-72,USD,6.9251
2024-02-02,云平台事业部,CC技术01,坏账准备,opex_other,4161.51,4051.95,V-100161,坏账准备-2024-02-02-87,CNY,1.0
2024-02-02,数据智能部,CC数据04,办公租金,opex_admin,4165.18,4351.6,V-100162,办公租金-2024-02-02-91,EUR,6.6972
2024-02-02,云平台事业部,CC数据02,订阅服务收入,income,41371.35,41594.84,V-100163,订阅服务收入-2024-02-02-36,USD,6.9395
2024-02-03,数据智能部,CC技术01,内容采购成本,cogs,33506.22,33840.06,V-100164,内容采购成本-2024-02-03-61,CNY,1.0
2024-02-03,企业服务部,CC技术05,软件许可成本,cogs,16067.68,16092.98,V-100165,软件许可成本-2024-02-03-81,USD,7.7804
2024-02-03,数据智能部,CC技术03,测试认证费,opex_rd,8791.78,8651.48,V-100166,测试认证费-2024-02-03-53,JPY,7.0732
2024-02-03,云平台事业部,CC云平03,测试认证费,opex_rd,8468.14,8204.7,V-100167,测试认证费-2024-02-03-07,EUR,7.7094
2024-02-03,云平台事业部,CCAI04,汇兑损益,opex_other,9893.32,10030.36,V-100168,汇兑损益-2024-02-03-64,CNY,1.0
2024-02-05,企业服务部,CC云平01,一次性授权收入,income,57954.81,58659.3,V-100169,一次性授权收入-2024-02-05-82,JPY,7.5942
2024-02-05,技术支持部,CC技术01,内容采购成本,cogs,24416.58,24775.41,V-100170,内容采购成本-2024-02-05-80,CNY,1.0
2024-02-05,技术支持部,CC技术04,技术咨询收入,income,51991.26,53961.66,V-100171,技术咨询收入-2024-02-05-58,CNY,1.0
2024-02-05,企业服务部,CC数据05,研发工具费,opex_rd,2217.69,2149.27,V-100172,研发工具费-2024-02-05-33,CNY,1.0
2024-02-05,技术支持部,CC技术03,运维服务收入,income,33684.44,33067.46,V-100173,运维服务收入-2024-02-05-91,CNY,1.0
2024-02-05,云平台事业部,CC数据02,工资薪酬,opex_salary,17775.35,18511.16,V-100174,工资薪酬-2024-02-05-85,EUR,7.0384
2024-02-05,AI研究院,CC云平01,订阅服务收入,income,13283.99,13919.71,V-100175,订阅服务收入-2024-02-05-80,CNY,1.0
2024-02-06,企业服务部,CC企业03,一次性授权收入,income,33668.97,33352.14,V-100176,一次性授权收入-2024-02-06-55,USD,6.7556
2024-02-06,企业服务部,CC数据02,市场推广费,opex_mkt,6228.03,6475.8,V-100177,市场推广费-2024-02-06-25,CNY,1.0
2024-02-06,企业服务部,CC数据01,汇兑损益,opex_other,9272.24,9318.4,V-100178,汇兑损益-2024-02-06-58,CNY,1.0
2024-02-06,企业服务部,CC数据04,工资薪酬,opex_salary,5766.89,5903.68,V-100179,工资薪酬-2024-02-06-54,USD,6.6545
2024-02-06,企业服务部,CC云平04,招待费,opex_admin,13169.84,12874.09,V-100180,招待费-2024-02-06-24,USD,6.8789
2024-02-06,云平台事业部,CC企业04,研发工具费,opex_rd,10934.72,11388.21,V-100181,研发工具费-2024-02-06-57,CNY,1.0
2024-02-06,云平台事业部,CC企业01,培训服务收入,income,60186.35,57446.79,V-100182,培训服务收入-2024-02-06-98,CNY,1.0
2024-02-06,数据智能部,CC技术01,汇兑损益,opex_other,9161.62,9264.01,V-100183,汇兑损益-2024-02-06-11,CNY,1.0
2024-02-06,技术支持部,CC数据03,订阅服务收入,income,74461.23,74534.71,V-100184,订阅服务收入-2024-02-06-71,CNY,1.0
2024-02-06,技术支持部,CC企业03,培训服务收入,income,75168.69,75952.79,V-100185,培训服务收入-2024-02-06-70,CNY,1.0
2024-02-06,AI研究院,CC云平02,一次性授权收入,income,27216.28,27250.09,V-100186,一次性授权收入-2024-02-06-86,CNY,1.0
2024-02-07,云平台事业部,CC技术02,带宽流量成本,cogs,39661.01,38092.84,V-100187,带宽流量成本-2024-02-07-13,CNY,1.0
2024-02-07,云平台事业部,CC技术01,一次性授权收入,income,99103.45,95905.32,V-100188,一次性授权收入-2024-02-07-13,EUR,7.2639
2024-02-07,企业服务部,CC数据03,带宽流量成本,cogs,48188.6,49383.99,V-100189,带宽流量成本-2024-02-07-82,CNY,1.0
2024-02-07,云平台事业部,CC云平01,社保公积金,opex_salary,0,0.0,V-100190,社保公积金-2024-02-07-10,JPY,7.6276
2024-02-07,技术支持部,CC企业03,软件许可成本,cogs,61149.82,59483.14,V-100191,软件许可成本-2024-02-07-58,USD,6.9639
2024-02-07,云平台事业部,CC数据02,第三方服务费,cogs,47280.06,45246.65,V-100192,第三方服务费-2024-02-07-40,CNY,1.0
2024-02-08,AI研究院,CC数据02,市场推广费,opex_mkt,7131.68,7028.12,V-100193,市场推广费-2024-02-08-05,EUR,7.748
2024-02-08,AI研究院,CC技术05,专利注册费,opex_rd,1405.11,1468.65,V-100194,专利注册费-2024-02-08-81,CNY,1.0
2024-02-08,AI研究院,CC企业03,绩效奖金,opex_salary,8885.68,8694.94,V-100195,绩效奖金-2024-02-08-61,CNY,1.0
2024-02-09,数据智能部,CC云平03,测试认证费,opex_rd,3530.5,3450.21,V-100196,测试认证费-2024-02-09-84,CNY,1.0
2024-02-09,企业服务部,CC云平05,广告投放费,opex_mkt,2858.03,2961.05,V-100197,广告投放费-2024-02-09-44,CNY,1.0
2024-02-09,数据智能部,CC技术03,技术咨询收入,income,57692.19,58000.24,V-100198,技术咨询收入-2024-02-09-68,USD,7.5487
2024-02-09,云平台事业部,CC云平02,服务器成本,cogs,37531.58,36518.87,V-100199,服务器成本-2024-02-09-53,CNY,1.0
2024-02-09,云平台事业部,CC企业04,坏账准备,opex_other,4429.49,4217.04,V-100200,坏账准备-2024-02-09-58,CNY,1.0
2024-02-12,企业服务部,CC数据02,研发工具费,opex_rd,5753.26,5889.89,V-100201,研发工具费-2024-02-12-95,USD,7.3879
